Name,Role,Department,Year,Email,Contact,AvgScore,TotalSubjects,CompletedCredits
Bernard Houston,Staff,Mathematics,-,jennifer31@juarez.net,2100813360,0,-,-
Cody Morse,Staff,Electronics,-,bbutler@rogers.com,6907959839,0,-,-
Casey Oliver,Student,Chemistry,1,jonathanmarshall@rodriguez.com,8696471400,69,5,25
Donald Villa,Student,Biology,2,wrightlisa@rodriguez.com,2568399461,61,5,25
Samantha Hill,Faculty,Computer Science,-,oharrington@gonzalez.com,3338337675,0,-,-
Sara Snyder,Student,Computer Science,2,gordonmitchell@gutierrez.com,2589070370,71,6,30
Lisa Horne,Faculty,Physics,-,yhamilton@jackson.com,5842528437,0,-,-
Samuel Stevens,Faculty,Mathematics,-,carly44@pace.com,5170934750,0,-,-
Kimberly Pace,Faculty,Administration,-,emilyhall@hotmail.com,3315158922,0,-,-
Deborah Nielsen,Staff,Mathematics,-,michelle93@phelps.biz,4073614800,0,-,-
Amanda Flores,Staff,Administration,-,jgibson@melton.com,2996054039,0,-,-
Timothy Reed,Student,Biology,2,kristy84@mcdowell-williams.com,7787837184,64,5,20
James Cunningham,Faculty,Mathematics,-,fstout@vincent.biz,2794260349,0,-,-
Andrew Pierce,Student,Physics,4,elizabethwells@chan.com,5575478675,66,9,27
Christopher Hansen,Staff,Administration,-,cbriggs@smith-brown.net,9950269764,0,-,-
Robert Mccarthy,Faculty,Physics,-,lopezamanda@smith-green.com,5847611061,0,-,-
Casey Mora,Staff,Computer Science,-,christieroberts@mitchell-weber.info,8117533192,0,-,-
Tammy Ford,Faculty,Administration,-,randalltimothy@howard.com,7646331911,0,-,-
Brian Payne,Staff,Biology,-,westdanielle@gmail.com,1002532326,0,-,-
William Burns,Student,Biology,2,norma85@yahoo.com,8557064660,84,5,15
David Arellano,Staff,Physics,-,gfleming@hotmail.com,7465773662,0,-,-
Steven Mccoy,Staff,Electronics,-,joanna47@hotmail.com,1910952502,0,-,-
Sheryl Peterson,Faculty,Biology,-,hcastro@yahoo.com,7698054920,0,-,-
Ashley Powell,Faculty,Administration,-,probinson@yahoo.com,3890592055,0,-,-
Austin Davis,Faculty,Computer Science,-,christophersosa@hotmail.com,4553788251,0,-,-
Scott Bird,Staff,Administration,-,mossrichard@hotmail.com,8669355353,0,-,-
Austin Richardson,Staff,Computer Science,-,timothystewart@yahoo.com,4303557998,0,-,-
Donald Smith,Staff,Administration,-,nicholas36@johnson-alexander.org,1831811404,0,-,-
Andrew Schroeder,Staff,Biology,-,rmartin@brooks.com,1012335631,0,-,-
Timothy Hill,Staff,Mathematics,-,coleanthony@gmail.com,0372759896,0,-,-
Jerry Tucker,Staff,Computer Science,-,samuel70@gmail.com,3953804032,0,-,-
Kathy Morales,Student,Mathematics,2,dlong@hotmail.com,5141535016,86,7,35
Kyle Romero,Student,Physics,3,thomasmurray@clements.com,7957550958,76,8,40
Kyle Hoffman,Staff,Biology,-,elizabeth63@ramirez.com,1626854673,0,-,-
Kylie Brown,Student,Biology,4,smithcourtney@frazier.com,9906468545,68,7,35
Christina Davila,Faculty,Physics,-,beckkevin@villa.com,3062435485,0,-,-
Marcus Moreno,Staff,Chemistry,-,wcollins@barker.org,9954478388,0,-,-
Heather Davis,Faculty,Chemistry,-,phamcarolyn@love.net,0313350552,0,-,-
David Garcia,Staff,Physics,-,samantha71@yahoo.com,4597103781,0,-,-
Jerry Davis,Faculty,Physics,-,ddavis@parker-bridges.com,6817607575,0,-,-
Hunter Ramirez,Staff,Biology,-,taylorkyle@sanchez.com,4023751356,0,-,-
Karen Sims,Faculty,Mathematics,-,qperez@hotmail.com,4950714393,0,-,-
Peter Jones,Faculty,Mathematics,-,roachchristopher@johnson.com,2619385163,0,-,-
Kevin Kelley,Staff,Chemistry,-,jensenmichelle@armstrong.com,8610280211,0,-,-
Jennifer Harris,Staff,Electronics,-,williamosborne@yahoo.com,8288984837,0,-,-
John Bennett,Student,Chemistry,2,fredpatel@fisher-chen.biz,3822406812,60,8,24
Paul Bradshaw,Faculty,Electronics,-,reyesbradley@chen.com,8056980939,0,-,-
Christina Henry,Staff,Computer Science,-,evanscasey@gmail.com,2705338434,0,-,-
Lisa Williams,Faculty,Chemistry,-,vdixon@yahoo.com,4711990383,0,-,-
Jeffrey Leonard,Staff,Administration,-,mathewserin@gmail.com,7138984172,0,-,-
Nicole Smith,Staff,Computer Science,-,ubarnes@hotmail.com,2527676027,0,-,-
Thomas Summers,Student,Biology,4,ujohnson@gmail.com,5915180657,63,9,45
Sarah Drake,Faculty,Electronics,-,tuckermartin@gmail.com,6568833306,0,-,-
Maria Walker,Staff,Computer Science,-,pittsryan@gmail.com,3634950367,0,-,-
George Mendez,Faculty,Physics,-,melissaperry@richardson-gilbert.net,1147845338,0,-,-
Laura Allen,Faculty,Electronics,-,hernandezalejandro@hotmail.com,8419822583,0,-,-
Becky Jones,Staff,Biology,-,tanderson@williams.com,4232816859,0,-,-
Brian West,Student,Computer Science,3,davidjohnson@yahoo.com,6685719809,72,6,30
Sara Sanchez,Student,Chemistry,1,isaac19@sanders.biz,0237028629,67,6,30
Brittany Meadows,Staff,Biology,-,michael35@roberts-cummings.biz,6611592960,0,-,-
Shane Oneal,Faculty,Mathematics,-,tstevens@rivera-rice.com,7394392313,0,-,-
Katherine Bennett,Faculty,Electronics,-,conleycrystal@hotmail.com,2395554355,0,-,-
Margaret Colon,Faculty,Biology,-,castilloamanda@yahoo.com,5370592597,0,-,-
Leslie Kirk,Student,Biology,3,brookskimberly@gmail.com,0891822080,68,6,18
David Poole,Staff,Administration,-,ugordon@yahoo.com,3196695752,0,-,-
Renee James,Staff,Administration,-,juanmendez@hotmail.com,5274989652,0,-,-
Tina Melton,Faculty,Mathematics,-,anthony68@yahoo.com,1122172679,0,-,-
Joseph Blair,Student,Administration,3,johnsonangela@skinner.net,8356015670,69,6,24
Cheryl Parker,Staff,Physics,-,campbellmichael@barton.biz,2642912319,0,-,-
Jasmine Davis,Student,Computer Science,4,moorejennifer@hotmail.com,1276258549,74,7,21
Hannah Barton DVM,Faculty,Chemistry,-,thomascarter@hotmail.com,9555490919,0,-,-
Gabrielle Barnes,Staff,Chemistry,-,bnielsen@gmail.com,2332976010,0,-,-
Karen Newton,Student,Computer Science,1,timothy52@gmail.com,7030580318,72,5,15
Jody Bishop,Faculty,Administration,-,maldonadokeith@yahoo.com,0775474668,0,-,-
Rebecca Torres,Student,Computer Science,1,angelaquinn@hotmail.com,0019145579,91,7,21
Sheri Caldwell,Student,Physics,3,harmonricardo@duffy.org,7145407342,65,7,35
Joshua Hill,Staff,Chemistry,-,wattskathy@peters.com,4753403348,0,-,-
Cynthia Garrett,Faculty,Mathematics,-,andrea24@yahoo.com,2145394037,0,-,-
Charles Morris,Faculty,Biology,-,jenniferortega@hotmail.com,3180641299,0,-,-
Jennifer Hoover,Staff,Computer Science,-,bvillarreal@collins.com,2897860415,0,-,-
Richard Whitehead,Faculty,Biology,-,jgomez@hotmail.com,6578597430,0,-,-
Michelle Dyer,Faculty,Electronics,-,zmontes@koch.com,4135668855,0,-,-
Mr. Adam Robinson PhD,Student,Electronics,2,jessicamontgomery@hotmail.com,5582782690,89,8,40
Frederick Powers,Staff,Electronics,-,tiffany42@conner.com,3305815556,0,-,-
Francisco Stone,Student,Electronics,2,caldwellantonio@gmail.com,9868042426,69,7,21
Sarah Singh,Faculty,Physics,-,rmcdaniel@hotmail.com,1084382409,0,-,-
Nicole Pena,Faculty,Administration,-,brandiphillips@garcia.net,6172457002,0,-,-
James Newman,Faculty,Computer Science,-,fcole@pearson.com,4090290621,0,-,-
Tina Baker,Faculty,Computer Science,-,amoore@hotmail.com,9309566983,0,-,-
Linda Ball,Staff,Administration,-,sandersjoe@perez.com,2465246691,0,-,-
David Norris,Staff,Computer Science,-,perkinstroy@mccullough-martin.net,7652845024,0,-,-
Jason Mullins,Faculty,Electronics,-,edwardhill@gmail.com,7776872641,0,-,-
Beth Cruz,Student,Administration,3,anthonyglass@gmail.com,0554275226,69,5,25
Jill Hall,Staff,Chemistry,-,wallacemegan@yahoo.com,4753222139,0,-,-
Paul Finley,Faculty,Electronics,-,usparks@gmail.com,4843536138,0,-,-
Kristina Jones,Student,Chemistry,3,dianedavis@stephenson.com,9884007728,61,5,20
Jerry Flynn,Staff,Biology,-,urobertson@yahoo.com,5341947499,0,-,-
Cynthia Martinez,Student,Computer Science,3,jessicawest@hotmail.com,8533320465,91,6,24
Brenda Brown,Student,Administration,1,amy76@hotmail.com,4567019964,68,6,30
Erik Bell,Faculty,Mathematics,-,davispatrick@owens.com,4784893403,0,-,-
Helen Petersen,Staff,Administration,-,nicholerodriguez@jackson.com,0664302398,0,-,-
Angel Hill,Staff,Chemistry,-,glawrence@taylor-garcia.com,3475255381,0,-,-
Tyler Diaz,Faculty,Administration,-,rmartinez@hotmail.com,5477539625,0,-,-
Michelle Cunningham,Faculty,Electronics,-,aimee59@gmail.com,1488064223,0,-,-
Jeremy Peters,Faculty,Chemistry,-,laurenrichards@hotmail.com,0659826203,0,-,-
Ronald Williams,Student,Electronics,3,donaldmorse@scott-sanchez.com,9367101943,72,7,21
Timothy Taylor,Staff,Administration,-,eric27@smith-moore.info,5125124724,0,-,-
Faith Ford,Faculty,Mathematics,-,sherriperez@burke-townsend.com,2259804683,0,-,-
Laurie Cooper,Staff,Electronics,-,marygonzales@smith-mcdonald.com,1850228337,0,-,-
Tom Hurley,Faculty,Chemistry,-,lfranklin@hotmail.com,7060183291,0,-,-
Timothy Valdez,Faculty,Biology,-,anthonyzimmerman@payne.com,0453817749,0,-,-
Vanessa Mitchell,Faculty,Physics,-,eberry@gmail.com,3600561154,0,-,-
Johnny Roberts,Student,Physics,3,katherine70@gmail.com,9333580520,61,6,18
Ryan Reyes,Staff,Administration,-,collinstyler@gilbert-novak.biz,9796758028,0,-,-
Laura Harris,Staff,Administration,-,matthew18@gmail.com,5267358595,0,-,-
Paula Taylor,Faculty,Physics,-,denise65@murphy.com,4307834527,0,-,-
Emily Stevens DDS,Staff,Administration,-,snydertricia@garrison.com,0336416263,0,-,-
Brett King,Faculty,Computer Science,-,dneal@hotmail.com,8072591151,0,-,-
Elizabeth Griffith,Student,Physics,3,vpatrick@may.net,8027749203,78,5,15
Cynthia Benjamin,Faculty,Administration,-,stacey86@yahoo.com,9706123560,0,-,-
Valerie Murillo,Faculty,Administration,-,awong@yahoo.com,4764707036,0,-,-
Mary Thomas,Staff,Chemistry,-,bjohnson@gmail.com,2983021260,0,-,-
Jennifer Carr,Faculty,Administration,-,emily33@yahoo.com,3814038495,0,-,-
Spencer Mueller,Student,Administration,2,tuckerjoseph@yahoo.com,1782321312,92,9,27
Alexander Rocha,Faculty,Chemistry,-,james56@kennedy-mclaughlin.com,9722182367,0,-,-
Barbara Ellis,Faculty,Administration,-,pamelathompson@mathews.biz,5751269442,0,-,-
Valerie Walsh,Faculty,Physics,-,zthompson@bentley-smith.net,7590460166,0,-,-
Benjamin Harrington,Faculty,Administration,-,fwhite@mccall.net,0937530896,0,-,-
Brian Collins,Staff,Biology,-,richard36@yahoo.com,3040670200,0,-,-
Jessica Flores,Faculty,Biology,-,stanley48@jackson-freeman.com,4808862832,0,-,-
Tanya Roach,Staff,Mathematics,-,hillmonica@yahoo.com,3601140981,0,-,-
Alan Smith,Student,Biology,2,richmondnicholas@stewart-barrett.net,3142614768,71,6,24
Jorge Dean,Student,Electronics,1,rryan@stevens.com,5504779766,85,5,20
Lori Weeks MD,Faculty,Biology,-,asoto@warner-harmon.com,0859021981,0,-,-
Cheryl Torres,Staff,Mathematics,-,laurenholmes@hotmail.com,3677688902,0,-,-
Stephanie Cox,Student,Physics,1,maldonadojennifer@coffey.com,6717097637,86,5,15
Susan Dodson,Faculty,Chemistry,-,deborah22@quinn-martinez.com,9741034846,0,-,-
Julie Garcia,Student,Chemistry,1,doris21@hotmail.com,3164088042,80,7,35
Regina Acosta,Faculty,Electronics,-,aweaver@hotmail.com,3158375735,0,-,-
Tracy Sanchez,Staff,Biology,-,npatel@thompson.com,5102517366,0,-,-
Claudia Spencer,Faculty,Computer Science,-,idixon@gmail.com,0361552486,0,-,-
Stephen Roy,Student,Administration,2,dana05@hotmail.com,6904458993,79,7,35
Paul Carlson,Student,Biology,1,schavez@yahoo.com,4333736284,94,7,35
Annette Matthews,Staff,Physics,-,danielspence@clark.info,1377690485,0,-,-
Ashley Moore,Staff,Chemistry,-,mcmahonsarah@gmail.com,4151742241,0,-,-
Robert Robbins,Student,Administration,2,melissa10@gmail.com,2540205183,87,10,30
Lisa Smith,Student,Administration,4,lisa37@johnson-ramos.biz,4115343042,91,7,28
Cheryl Allen,Student,Chemistry,4,bakerdiane@shaw.com,8020401781,86,5,25
Melissa Chase,Faculty,Computer Science,-,david22@baker.com,3707407892,0,-,-
Amber Taylor,Staff,Computer Science,-,lopezashley@franco-roth.com,9092269152,0,-,-
Teresa Allen,Student,Electronics,4,nancywalton@yahoo.com,5822364424,94,10,40
Robin Miller,Student,Biology,3,douglasyoung@flores.com,7069212645,75,5,15
John Cole,Staff,Physics,-,conwayedwin@alexander-jackson.com,1484594137,0,-,-
Jeffrey Phillips,Faculty,Administration,-,elizabeth09@yahoo.com,0794604300,0,-,-
John Donaldson,Staff,Computer Science,-,danielgreen@chavez.com,9690993120,0,-,-
Jason Martin,Student,Administration,2,kleinloretta@schaefer.com,2305446919,70,9,45
Angela Walker,Student,Physics,4,csalinas@hotmail.com,6127091440,90,10,50
Jerry Perry,Student,Mathematics,3,jpatterson@jones.org,2593898527,70,6,18
Charles Walker,Student,Computer Science,2,amber50@hernandez-vance.org,1555737219,87,10,40
James Jones,Faculty,Biology,-,maryharris@khan.info,0144527651,0,-,-
Charles Harris,Staff,Chemistry,-,omay@hernandez.com,5798150802,0,-,-
Stacey Woods,Student,Biology,2,kennethmorgan@ellison.org,0215608748,95,5,15
Julie Flores,Student,Biology,3,toddalvarado@hotmail.com,4882214045,84,7,28
Aaron Jones,Staff,Physics,-,melissarodriguez@kirby.com,8815889337,0,-,-
Pam Hardy,Faculty,Physics,-,ucoleman@boyd.net,4303894459,0,-,-
Nicole Davis,Faculty,Biology,-,rmonroe@glenn-walters.com,3562625854,0,-,-
Jessica Cummings,Staff,Chemistry,-,johnsonpamela@hotmail.com,8433867299,0,-,-
Christine Curtis,Staff,Mathematics,-,nrobinson@stewart-clarke.com,8197337771,0,-,-
Holly Reyes,Faculty,Electronics,-,michael86@yahoo.com,2192827990,0,-,-
Bruce Cooper,Faculty,Chemistry,-,burgessmichael@ramos.com,5093674866,0,-,-
Lisa Mcconnell,Student,Electronics,4,scottwong@sosa-mendoza.com,4872640536,86,9,36
Melissa Meyer,Student,Computer Science,1,jill25@hotmail.com,5664230575,69,5,20
Juan Schwartz,Staff,Physics,-,greenerichard@hotmail.com,5938250782,0,-,-
Annette Liu,Faculty,Physics,-,heatherjohnson@hotmail.com,5830459215,0,-,-
Charles Hernandez,Student,Computer Science,2,lesterzachary@yahoo.com,2273104728,86,8,24
Mrs. Angela Johnson,Faculty,Electronics,-,lindseywest@rogers.com,8424075261,0,-,-
